日期,收盘,开盘,高,低,涨跌幅
2024-5-30,4.564,4.625,4.631,4.558,-1.12%
2024-5-29,4.616,4.548,4.638,4.542,1.49%
2024-5-28,4.548,4.459,4.554,4.445,1.95%
2024-5-27,4.461,4.451,4.473,4.446,0.22%
2024-5-26,4.451,4.455,4.457,4.449,-0.36%
2024-5-24,4.467,4.477,4.502,4.463,-0.26%
2024-5-23,4.479,4.426,4.498,4.408,1.20%
2024-5-22,4.426,4.414,4.461,4.41,0.31%
2024-5-21,4.412,4.445,4.451,4.398,-0.79%
2024-5-20,4.447,4.414,4.455,4.406,0.57%
2024-5-17,4.422,4.369,4.426,4.363,1.03%
2024-5-16,4.377,4.336,4.385,4.313,0.76%
2024-5-15,4.344,4.449,4.449,4.34,-2.28%
2024-5-14,4.445,4.489,4.534,4.441,-1.00%
2024-5-13,4.49,4.49,4.496,4.459,-0.22%
2024-5-10,4.5,4.465,4.508,4.441,0.93%
2024-5-9,4.459,4.49,4.52,4.447,-0.91%
2024-5-8,4.5,4.457,4.5,4.451,0.87%
2024-5-7,4.461,4.496,4.496,4.42,-0.59%
2024-5-6,4.487,4.483,4.514,4.469,-0.22%
2024-5-3,4.497,4.583,4.596,4.453,-2.00%
2024-5-2,4.589,4.63,4.651,4.567,-1.11%
2024-5-1,4.641,4.682,4.694,4.581,-0.88%
2024-4-30,4.682,4.611,4.692,4.603,1.53%
2024-4-29,4.611,4.655,4.659,4.607,-1.10%
2024-4-26,4.663,4.714,4.716,4.64,-0.87%
2024-4-25,4.704,4.646,4.739,4.619,1.21%
2024-4-24,4.648,4.6,4.671,4.6,0.90%
2024-4-23,4.607,4.613,4.654,4.568,-0.08%
2024-4-22,4.61,4.631,4.668,4.609,-0.27%
2024-4-19,4.623,4.627,4.635,4.496,-0.30%
2024-4-18,4.637,4.587,4.653,4.561,1.03%
2024-4-17,4.589,4.674,4.684,4.575,-1.72%
2024-4-16,4.669,4.614,4.696,4.591,1.30%
2024-4-15,4.61,4.534,4.663,4.52,2.04%
2024-4-12,4.517,4.582,4.584,4.483,-1.46%
2024-4-11,4.584,4.548,4.593,4.513,0.86%
2024-4-10,4.546,4.366,4.568,4.342,4.22%
2024-4-9,4.362,4.426,4.432,4.354,-1.36%
2024-4-8,4.422,4.414,4.464,4.406,0.50%
2024-4-5,4.4,4.309,4.406,4.305,2.14%
2024-4-4,4.307,4.343,4.381,4.299,-1.01%
2024-4-3,4.351,4.357,4.429,4.343,-0.04%
2024-4-2,4.353,4.305,4.405,4.303,0.83%
2024-4-1,4.317,4.19,4.337,4.188,2.54%
2024-3-29,4.21,4.21,4.21,4.21,0.09%
2024-3-28,4.206,4.206,4.238,4.183,0.42%
2024-3-27,4.188,4.238,4.241,4.182,-1.16%
2024-3-26,4.238,4.243,4.273,4.222,-0.28%
2024-3-25,4.249,4.198,4.261,4.19,1.13%
2024-3-22,4.202,4.265,4.269,4.198,-1.57%
2024-3-21,4.269,4.273,4.293,4.218,-0.18%
2024-3-20,4.277,4.285,4.324,4.233,-0.37%
2024-3-19,4.293,4.328,4.336,4.287,-0.82%
2024-3-18,4.328,4.308,4.348,4.291,0.46%
2024-3-15,4.308,4.296,4.322,4.269,0.38%
2024-3-14,4.292,4.19,4.3,4.186,2.49%
2024-3-13,4.188,4.147,4.198,4.131,0.90%
2024-3-12,4.151,4.094,4.172,4.081,1.28%
2024-3-11,4.098,4.083,4.116,4.052,0.52%
2024-3-8,4.077,4.09,4.131,4.038,-0.28%
2024-3-7,4.089,4.104,4.127,4.054,-0.47%
2024-3-6,4.108,4.155,4.17,4.079,-1.03%
2024-3-5,4.151,4.223,4.223,4.112,-1.57%
2024-3-4,4.217,4.193,4.235,4.189,0.75%
2024-3-1,4.186,4.254,4.296,4.178,-1.61%
2024-2-29,4.254,4.266,4.319,4.225,-0.27%
2024-2-28,4.266,4.305,4.309,4.264,-0.87%
2024-2-27,4.303,4.283,4.321,4.258,0.51%
2024-2-26,4.281,4.258,4.309,4.217,0.79%
2024-2-23,4.248,4.343,4.351,4.246,-1.91%
2024-2-22,4.331,4.323,4.354,4.295,0.28%
2024-2-21,4.319,4.283,4.331,4.25,1.02%
2024-2-20,4.275,4.317,4.319,4.244,-0.96%
2024-2-19,4.317,4.296,4.328,4.282,0.48%
2024-2-18,4.296,4.287,4.301,4.287,0.35%
2024-2-16,4.281,4.238,4.33,4.236,1.11%
2024-2-15,4.234,4.255,4.257,4.187,-0.64%
2024-2-14,4.261,4.328,4.332,4.246,-1.50%
2024-2-13,4.326,4.179,4.328,4.15,3.51%
2024-2-12,4.179,4.183,4.197,4.146,0.05%
2024-2-9,4.177,4.154,4.195,4.125,0.47%
