日期,收盘,开盘,高,低,涨跌幅
2024-5-30,5.33,5.33,5.33,5.33,0.00%
2024-5-29,5.33,5.33,5.33,5.33,0.00%
2024-5-28,5.33,5.33,5.33,5.33,0.00%
2024-5-24,5.33,5.33,5.33,5.33,0.00%
2024-5-23,5.33,5.33,5.33,5.33,0.00%
2024-5-22,5.33,5.33,5.33,5.33,0.00%
2024-5-21,5.33,5.33,5.33,5.33,0.00%
2024-5-20,5.33,5.33,5.33,5.33,0.00%
2024-5-17,5.33,5.33,5.33,5.33,0.00%
2024-5-16,5.33,5.33,5.33,5.33,0.00%
2024-5-15,5.33,5.33,5.33,5.33,0.00%
2024-5-14,5.33,5.33,5.33,5.33,0.00%
2024-5-13,5.33,5.33,5.33,5.33,0.00%
2024-5-10,5.33,5.33,5.33,5.33,0.00%
2024-5-9,5.33,5.33,5.33,5.33,0.00%
2024-5-8,5.33,5.33,5.33,5.33,0.00%
2024-5-7,5.33,5.33,5.33,5.33,0.00%
2024-5-6,5.33,5.33,5.33,5.33,0.00%
2024-5-3,5.33,5.33,5.33,5.33,0.00%
2024-5-1,5.33,5.33,5.33,5.33,0.00%
2024-4-30,5.33,5.33,5.33,5.33,0.00%
2024-4-29,5.33,5.33,5.33,5.33,0.00%
2024-4-26,5.33,5.33,5.33,5.33,0.00%
2024-4-25,5.33,5.33,5.33,5.33,0.00%
2024-4-24,5.33,5.33,5.33,5.33,0.00%
2024-4-23,5.33,5.33,5.33,5.33,0.00%
2024-4-22,5.33,5.33,5.33,5.33,0.00%
2024-4-19,5.33,5.33,5.33,5.33,0.00%
2024-4-18,5.33,5.33,5.33,5.33,0.00%
2024-4-17,5.33,5.33,5.33,5.33,0.00%
2024-4-16,5.33,5.33,5.33,5.33,0.00%
2024-4-15,5.33,5.33,5.33,5.33,0.00%
2024-4-12,5.33,5.33,5.33,5.33,0.00%
2024-4-11,5.33,5.33,5.33,5.33,0.00%
2024-4-10,5.33,5.33,5.33,5.33,0.00%
2024-4-9,5.33,5.33,5.33,5.33,0.00%
2024-4-8,5.33,5.33,5.33,5.33,0.00%
2024-4-5,5.33,5.33,5.33,5.33,0.00%
2024-4-4,5.33,5.33,5.33,5.33,0.00%
2024-4-3,5.33,5.33,5.33,5.33,0.00%
2024-4-2,5.33,5.33,5.33,5.33,0.00%
2024-4-1,5.33,5.33,5.33,5.33,0.00%
2024-3-29,5.33,5.33,5.33,5.33,0.00%
2024-3-28,5.33,5.33,5.33,5.33,0.00%
2024-3-27,5.33,5.33,5.33,5.33,0.00%
2024-3-26,5.33,5.33,5.33,5.33,0.00%
2024-3-25,5.33,5.33,5.33,5.33,0.00%
2024-3-22,5.33,5.33,5.33,5.33,0.00%
2024-3-21,5.33,5.33,5.33,5.33,0.00%
2024-3-20,5.33,5.33,5.33,5.33,0.00%
2024-3-19,5.33,5.33,5.33,5.33,0.00%
2024-3-18,5.33,5.33,5.33,5.33,0.00%
2024-3-15,5.33,5.33,5.33,5.33,0.00%
2024-3-14,5.33,5.33,5.33,5.33,0.00%
2024-3-13,5.33,5.33,5.33,5.33,0.00%
2024-3-12,5.33,5.33,5.33,5.33,0.00%
2024-3-11,5.33,5.33,5.33,5.33,0.00%
2024-3-8,5.33,5.33,5.33,5.33,0.00%
2024-3-7,5.33,5.33,5.33,5.33,0.00%
2024-3-6,5.33,5.33,5.33,5.33,0.00%
2024-3-5,5.33,5.33,5.33,5.33,0.00%
2024-3-4,5.33,5.33,5.33,5.33,0.00%
2024-3-1,5.33,5.33,5.33,5.33,0.00%
2024-2-29,5.33,5.33,5.33,5.33,0.00%
2024-2-28,5.33,5.33,5.33,5.33,0.00%
2024-2-27,5.33,5.33,5.33,5.33,0.00%
2024-2-26,5.33,5.33,5.33,5.33,0.00%
2024-2-23,5.33,5.33,5.33,5.33,0.00%
2024-2-22,5.33,5.33,5.33,5.33,0.00%
2024-2-21,5.33,5.33,5.33,5.33,0.00%
2024-2-20,5.33,5.33,5.33,5.33,0.00%
2024-2-16,5.33,5.33,5.33,5.33,0.00%
2024-2-15,5.33,5.33,5.33,5.33,0.00%
2024-2-14,5.33,5.33,5.33,5.33,0.00%
2024-2-13,5.33,5.33,5.33,5.33,0.00%
2024-2-12,5.33,5.33,5.33,5.33,0.00%
2024-2-9,5.33,5.33,5.33,5.33,0.00%
2024-2-8,5.33,5.33,5.33,5.33,0.00%
2024-2-7,5.33,5.33,5.33,5.33,0.00%
2024-2-6,5.33,5.33,5.33,5.33,0.00%
2024-2-5,5.33,5.33,5.33,5.33,0.00%
2024-2-2,5.33,5.33,5.33,5.33,0.00%
2024-2-1,5.33,5.33,5.33,5.33,0.00%
2024-1-31,5.33,5.33,5.33,5.33,0.00%
2024-1-30,5.33,5.33,5.33,5.33,0.00%
2024-1-29,5.33,5.33,5.33,5.33,0.00%
2024-1-26,5.33,5.33,5.33,5.33,0.00%
2024-1-25,5.33,5.33,5.33,5.33,0.00%
2024-1-24,5.33,5.33,5.33,5.33,0.00%
2024-1-23,5.33,5.33,5.33,5.33,0.00%
